#Down SWR Down LWR Precipit  Air Tem  Windspe Pressure Spec Hum
#W m-2 W m-2 Kg m-2 s-1 K m s-1 Pa kg kg
   0.0 347.7 1.41E-04 281.63  6.97  95740 0.00710
   0.0 346.0 7.06E-05 281.14  6.57  95730 0.00693
   0.0 344.4 7.06E-05 280.77  7.57  95700 0.00677
   0.0 342.9 0.00E+00 280.42  8.89  95690 0.00660
   1.6 341.0 0.00E+00 280.01  8.44  95690 0.00644
  11.6 339.4 0.00E+00 279.87  8.91  95730 0.00637
  24.6 338.0 7.06E-05 279.58  8.77  95710 0.00623
  76.2 336.9 0.00E+00 279.63  8.30  95690 0.00619
  85.9 333.7 0.00E+00 279.96  8.05  95650 0.00613
  92.1 334.9 0.00E+00 280.50  8.81  95590 0.00617
 105.1 339.8 0.00E+00 281.39  8.45  95550 0.00641
  87.8 342.8 0.00E+00 282.02  8.66  95490 0.00662
  72.7 342.9 0.00E+00 281.92 10.95  95430 0.00635
  49.5 341.5 0.00E+00 281.69  9.78  95450 0.00631
  31.2 339.3 0.00E+00 281.49  9.69  95480 0.00621
   9.3 338.4 0.00E+00 280.99  9.67  95570 0.00625
   0.4 338.3 7.06E-05 280.02  8.16  95610 0.00640
   0.0 335.7 4.23E-04 279.66  8.01  95640 0.00628
   0.0 334.0 5.64E-04 279.03  8.36  95700 0.00603
   0.0 329.5 1.41E-04 278.86  7.62  95730 0.00595
   0.0 333.2 2.12E-04 278.45  7.38  95750 0.00579
   0.0 332.6 6.35E-04 278.12  7.12  95740 0.00565
   0.0 331.5 2.82E-04 277.91  7.05  95740 0.00557
   0.0 329.8 2.12E-04 277.70  7.28  95750 0.00549
   0.0 327.1 2.82E-04 277.43  6.91  95770 0.00539
   0.0 324.6 2.82E-04 277.04  7.00  95770 0.00524
   0.0 324.7 2.12E-04 276.78  7.13  95800 0.00514
   0.0 323.6 1.41E-04 276.46  6.40  95860 0.00503
   3.2 321.7 7.06E-05 276.22  6.57  95910 0.00494
  29.4 321.5 7.06E-05 276.31  6.41  95980 0.00497
  61.6 323.8 0.00E+00 276.28  7.11  96040 0.00495
 101.7 322.3 7.06E-05 276.61  7.15  96090 0.00507
 151.5 321.7 0.00E+00 277.33  7.41  96130 0.00533
 165.3 325.0 0.00E+00 277.84  7.45  96170 0.00552
 216.5 326.5 0.00E+00 278.48  7.50  96200 0.00577
 380.2 318.0 0.00E+00 279.56  7.68  96170 0.00574
 189.4 327.6 0.00E+00 280.82  6.96  96150 0.00567
 213.2 326.4 0.00E+00 280.28  8.27  96160 0.00584
 182.3 314.2 0.00E+00 280.33  7.09  96190 0.00551
  65.9 324.9 0.00E+00 279.24  5.91  96250 0.00547
   7.7 259.9 0.00E+00 278.55  3.07  96270 0.00535
   0.0 244.5 0.00E+00 276.03  1.70  96270 0.00479
   0.0 240.3 0.00E+00 274.85  1.74  96300 0.00440
   0.0 242.7 0.00E+00 274.27  2.05  96310 0.00408
   0.0 239.9 0.00E+00 273.88  2.38  96340 0.00391
   0.0 236.0 0.00E+00 274.41  3.17  96370 0.00391
   0.0 233.6 0.00E+00 274.10  1.64  96420 0.00382
   0.0 229.3 0.00E+00 273.38  1.99  96450 0.00370
   0.0 226.0 0.00E+00 272.35  1.80  96440 0.00353
   0.0 227.1 0.00E+00 272.20  2.26  96440 0.00343
   0.0 226.2 0.00E+00 272.28  2.78  96470 0.00341
   0.0 225.8 0.00E+00 272.30  3.07  96510 0.00342
  18.0 226.3 0.00E+00 272.76  3.76  96520 0.00347
 167.0 228.5 0.00E+00 274.70  4.72  96560 0.00374
 370.2 235.3 0.00E+00 277.42  4.74  96600 0.00413
 562.9 243.7 0.00E+00 279.72  6.47  96640 0.00424
 714.6 253.9 0.00E+00 282.09  6.71  96640 0.00436
 812.7 259.7 0.00E+00 284.15  8.62  96620 0.00391
 852.7 261.5 0.00E+00 285.34  8.84  96600 0.00351
 816.1 265.0 0.00E+00 286.25  7.89  96550 0.00342
 719.2 266.2 0.00E+00 286.91  7.53  96520 0.00319
 573.0 266.9 0.00E+00 287.23  7.62  96500 0.00314
 382.8 262.8 0.00E+00 287.20  6.94  96500 0.00319
 173.2 261.1 0.00E+00 286.44  5.21  96530 0.00342
  17.6 255.9 0.00E+00 283.17  2.05  96560 0.00403
   0.0 251.6 0.00E+00 280.44  0.94  96580 0.00416
   0.0 248.2 0.00E+00 278.31  1.25  96620 0.00399
   0.0 248.2 0.00E+00 277.09  1.19  96660 0.00380
   0.0 245.0 0.00E+00 275.09  1.33  96680 0.00365
   0.0 247.9 0.00E+00 273.82  1.51  96700 0.00356
   0.0 244.8 0.00E+00 272.89  1.08  96720 0.00349
   0.0 246.0 0.00E+00 272.30  1.34  96750 0.00339
   0.0 242.7 0.00E+00 272.32  1.16  96730 0.00342
   0.0 249.0 0.00E+00 271.25  1.09  96720 0.00327
   0.0 244.2 0.00E+00 270.95  1.05  96720 0.00327
   0.0 243.4 0.00E+00 271.07  1.13  96740 0.00323
  20.5 240.0 0.00E+00 270.94  1.15  96790 0.00320
 154.5 239.8 0.00E+00 273.40  1.21  96840 0.00371
 367.1 248.2 0.00E+00 278.28  1.54  96860 0.00445
 549.9 259.2 0.00E+00 283.66  1.70  96890 0.00465
 703.7 268.2 0.00E+00 286.43  2.07  96900 0.00375
 805.8 271.4 0.00E+00 287.84  2.57  96850 0.00328
 844.2 273.6 0.00E+00 288.57  2.29  96780 0.00331
 810.5 279.5 0.00E+00 289.24  2.29  96750 0.00344
 706.8 284.4 0.00E+00 290.07  2.00  96700 0.00349
 557.8 284.5 0.00E+00 290.69  2.14  96680 0.00344
 372.8 282.9 0.00E+00 291.00  2.47  96660 0.00343
 168.4 278.9 0.00E+00 290.49  2.08  96650 0.00358
  12.2 274.5 0.00E+00 287.37  0.76  96630 0.00390
   0.0 272.3 0.00E+00 283.86  1.08  96640 0.00436
   0.0 272.2 0.00E+00 281.87  1.70  96640 0.00421
   0.0 269.1 0.00E+00 278.63  1.49  96630 0.00423
   0.0 287.3 0.00E+00 279.04  1.87  96610 0.00437
   0.0 299.7 0.00E+00 280.24  2.58  96580 0.00466
   0.0 276.2 0.00E+00 279.88  2.24  96560 0.00454
   0.0 266.2 0.00E+00 278.92  2.70  96530 0.00448
   0.0 263.5 0.00E+00 278.18  1.85  96470 0.00433
   0.0 261.2 0.00E+00 277.79  0.96  96410 0.00437
   0.0 260.1 0.00E+00 276.75  1.24  96380 0.00429
   0.0 265.3 0.00E+00 275.81  1.11  96350 0.00431
  27.7 263.8 0.00E+00 275.64  1.47  96340 0.00440
 167.5 263.7 0.00E+00 280.11  2.86  96310 0.00536
 370.6 275.5 0.00E+00 285.08  4.50  96260 0.00588
 549.1 291.4 0.00E+00 289.61  6.65  96190 0.00600
 689.3 304.7 0.00E+00 292.83  7.65  96140 0.00566
 757.0 315.4 0.00E+00 294.78  8.69  96050 0.00547
 749.9 325.5 0.00E+00 295.86  8.78  95980 0.00542
 689.8 328.9 0.00E+00 296.74  9.37  95880 0.00498
 500.1 333.7 0.00E+00 296.71  9.24  95820 0.00488
 339.5 343.3 0.00E+00 296.28  9.23  95770 0.00504
 330.1 318.5 0.00E+00 296.28  8.47  95720 0.00535
 159.6 319.5 0.00E+00 295.78  7.11  95700 0.00527
  25.0 310.7 0.00E+00 292.38  3.71  95680 0.00602
   0.0 305.7 0.00E+00 289.49  3.90  95690 0.00645
   0.0 316.9 0.00E+00 288.61  4.26  95710 0.00667
   0.0 325.8 0.00E+00 290.22  6.77  95690 0.00704
   0.0 343.2 0.00E+00 290.50  7.07  95700 0.00717
   0.0 333.1 0.00E+00 288.81  4.37  95830 0.00732
   0.0 328.9 0.00E+00 286.81  3.33  95940 0.00708
   0.0 322.9 0.00E+00 285.47  5.55  96070 0.00642
   0.0 291.7 0.00E+00 283.83  4.99  96080 0.00589
   0.0 303.8 0.00E+00 283.52  3.46  96130 0.00527
   0.0 285.0 0.00E+00 281.89  1.89  96200 0.00477
   0.0 296.0 0.00E+00 280.15  1.92  96290 0.00494
  23.1 298.6 0.00E+00 279.98  2.49  96360 0.00528
 170.7 281.7 0.00E+00 282.93  3.72  96390 0.00566
 349.3 276.5 0.00E+00 285.15  4.93  96410 0.00557
 557.7 284.7 0.00E+00 286.90  6.17  96440 0.00511
 688.1 312.2 0.00E+00 288.41  5.72  96510 0.00469
 784.4 332.0 0.00E+00 289.15  6.62  96470 0.00414
 538.5 341.2 0.00E+00 288.86  6.65  96430 0.00419
 219.7 346.2 0.00E+00 287.57  6.24  96440 0.00436
 120.2 345.2 0.00E+00 286.21  6.47  96480 0.00426
 161.0 343.2 0.00E+00 286.15  6.19  96510 0.00410
  77.4 341.1 0.00E+00 286.13  5.16  96540 0.00420
  30.0 339.2 0.00E+00 285.32  5.39  96590 0.00384
   2.5 337.4 0.00E+00 284.25  3.66  96620 0.00411
   0.9 335.7 7.06E-05 281.97  3.09  96650 0.00519
   0.9 326.7 0.00E+00 281.33  1.69  96670 0.00523
   0.0 314.8 0.00E+00 280.81  1.68  96680 0.00532
   0.0 311.1 0.00E+00 279.48  2.30  96690 0.00548
   0.0 312.6 0.00E+00 278.95  2.33  96730 0.00535
   0.0 308.7 0.00E+00 279.05  1.13  96770 0.00518
   0.0 303.7 0.00E+00 279.24  3.38  96770 0.00500
   0.0 288.8 0.00E+00 278.94  3.18  96770 0.00490
   0.0 257.3 0.00E+00 277.18  2.63  96810 0.00451
   0.0 250.9 0.00E+00 275.31  1.67  96880 0.00411
   0.0 242.3 0.00E+00 272.93  1.16  96960 0.00367
  20.4 246.5 0.00E+00 272.51  1.53  97020 0.00355
 192.1 261.0 0.00E+00 275.59  3.13  97090 0.00400
 278.3 266.0 0.00E+00 278.96  3.28  97150 0.00431
 535.7 256.4 0.00E+00 281.94  2.30  97190 0.00439
 716.6 262.7 0.00E+00 285.27  1.91  97180 0.00379
 817.8 272.4 0.00E+00 287.84  1.69  97140 0.00324
 851.2 277.9 0.00E+00 289.03  1.85  97070 0.00288
 820.1 279.5 0.00E+00 289.59  2.82  97000 0.00273
 658.8 285.2 0.00E+00 290.07  3.01  96930 0.00262
 560.5 287.6 0.00E+00 290.48  4.01  96890 0.00248
 279.2 284.0 0.00E+00 289.87  3.83  96850 0.00243
 128.3 295.8 0.00E+00 289.31  2.66  96850 0.00255
  12.6 293.8 0.00E+00 287.25  2.05  96860 0.00282
   0.0 307.2 0.00E+00 284.89  2.17  96870 0.00305
   0.0 275.3 0.00E+00 284.77  1.93  96880 0.00305
   0.0 264.2 0.00E+00 282.16  1.03  96880 0.00319
   0.0 262.1 0.00E+00 280.12  0.49  96850 0.00328
   0.0 258.3 0.00E+00 277.81  0.91  96840 0.00356
   0.0 258.7 0.00E+00 276.93  0.99  96840 0.00353
   0.0 254.7 0.00E+00 276.39  1.67  96840 0.00360
   0.0 253.9 0.00E+00 275.43  1.09  96780 0.00349
   0.0 252.0 0.00E+00 273.38  1.28  96760 0.00346
   0.0 256.7 0.00E+00 274.18  1.57  96760 0.00346
   0.0 250.5 0.00E+00 272.78  0.98  96740 0.00340
  24.3 287.7 0.00E+00 273.00  0.87  96740 0.00357
 108.5 295.5 0.00E+00 275.91  1.78  96660 0.00423
 211.1 308.9 0.00E+00 279.63  2.77  96630 0.00471
 268.7 321.3 0.00E+00 283.30  3.24  96620 0.00493
 197.4 332.0 0.00E+00 285.17  4.10  96580 0.00502
 172.7 338.9 0.00E+00 284.91  4.43  96550 0.00536
 341.5 342.3 0.00E+00 288.04  6.59  96310 0.00539
 625.5 329.5 0.00E+00 290.89  8.51  96060 0.00552
 341.8 347.4 0.00E+00 291.41  9.29  95940 0.00572
 170.4 358.7 0.00E+00 291.32  7.98  95850 0.00590
  48.2 367.4 2.12E-04 288.87  3.44  95850 0.00754
  37.8 367.6 2.82E-04 286.30  3.15  95830 0.00851
  15.2 346.5 0.00E+00 284.80  4.52  95730 0.00836
   0.0 326.6 0.00E+00 283.99  3.93  95680 0.00812
   0.0 338.5 0.00E+00 283.69  2.71  95660 0.00792
   0.0 342.3 0.00E+00 283.62  2.56  95650 0.00771
   0.0 346.2 0.00E+00 283.83  2.26  95580 0.00750
   2.5 357.1 0.00E+00 284.20  0.69  95540 0.00733
   0.3 335.0 0.00E+00 283.20  2.46  95460 0.00718
   0.0 334.3 0.00E+00 282.52  3.05  95350 0.00668
   0.0 327.6 0.00E+00 281.91  2.56  95290 0.00626
   0.0 318.4 0.00E+00 281.41  2.93  95220 0.00605
   0.0 311.1 0.00E+00 281.16  3.58  95140 0.00579
   0.0 315.8 0.00E+00 280.70  2.61  95140 0.00574
   7.6 322.4 0.00E+00 280.91  3.13  95110 0.00568
  90.1 301.7 0.00E+00 281.55  2.93  95060 0.00577
 166.8 322.2 0.00E+00 283.30  3.19  95050 0.00610
 360.1 312.4 0.00E+00 283.74  5.44  95040 0.00666
 381.6 325.4 0.00E+00 284.25  6.49  95090 0.00673
 365.9 336.5 0.00E+00 283.82  7.83  95110 0.00671
 296.0 336.3 0.00E+00 282.41  9.11  95110 0.00644
 251.2 323.6 0.00E+00 280.75 10.38  95120 0.00614
  38.0 327.0 0.00E+00 278.84  9.43  95300 0.00542
  29.9 319.1 0.00E+00 277.18 10.05  95470 0.00486
  21.2 315.3 0.00E+00 276.41 10.17  95590 0.00462
   8.5 315.7 0.00E+00 276.54  8.81  95710 0.00460
   0.0 315.1 0.00E+00 276.43  9.53  95790 0.00452
   0.0 315.0 0.00E+00 276.41  9.06  95890 0.00445
   0.0 313.3 0.00E+00 276.24  8.63  95970 0.00448
   0.0 314.4 0.00E+00 276.06  8.64  96020 0.00453
   0.0 316.1 7.06E-05 275.99  9.64  96080 0.00457
   0.0 312.2 0.00E+00 275.80  9.66  96090 0.00450
   0.0 310.5 0.00E+00 275.42  9.94  96110 0.00436
   0.0 309.6 0.00E+00 275.20 10.30  96130 0.00426
   0.0 306.1 0.00E+00 275.28 10.06  96170 0.00401
   0.0 304.6 0.00E+00 275.19  9.83  96220 0.00380
   0.0 303.8 0.00E+00 275.14 10.03  96270 0.00366
   0.0 303.8 0.00E+00 275.06  8.36  96340 0.00367
   2.2 304.4 0.00E+00 275.17  7.60  96450 0.00368
  28.0 304.3 0.00E+00 275.13  8.09  96570 0.00368
  72.6 304.2 0.00E+00 275.29  8.05  96620 0.00369
 148.9 305.4 0.00E+00 275.51  9.89  96710 0.00369
 343.0 299.5 0.00E+00 276.12  9.43  96810 0.00363
 682.2 262.3 0.00E+00 278.80  9.12  96790 0.00349
 864.0 245.9 0.00E+00 280.85 10.34  96780 0.00287
 826.4 246.4 0.00E+00 281.84 10.73  96790 0.00236
 765.2 243.6 0.00E+00 282.36 10.79  96800 0.00230
 474.3 263.5 0.00E+00 282.03 10.52  96820 0.00244
 263.1 273.7 0.00E+00 280.01 11.82  96900 0.00351
  90.8 256.4 0.00E+00 277.70 11.02  97040 0.00330
  26.3 250.8 0.00E+00 276.21 10.05  97150 0.00297
   0.0 228.8 0.00E+00 275.02  8.73  97220 0.00252
   0.0 224.1 0.00E+00 274.04  7.22  97310 0.00232
   0.0 251.5 0.00E+00 273.02  6.20  97360 0.00260
   0.0 290.4 0.00E+00 272.69  8.06  97390 0.00302
   0.0 296.0 0.00E+00 271.36  9.06  97390 0.00319
   0.0 286.7 0.00E+00 271.10  6.86  97420 0.00316
   0.0 280.3 0.00E+00 270.90  7.89  97500 0.00299
   0.0 261.3 0.00E+00 270.26  7.55  97560 0.00269
   0.0 281.6 0.00E+00 270.14  7.40  97600 0.00265
   0.0 282.7 0.00E+00 270.35  7.59  97660 0.00266
   0.0 282.2 0.00E+00 270.22  8.09  97740 0.00263
  12.0 281.4 0.00E+00 270.02  7.42  97830 0.00260
  82.1 281.5 0.00E+00 269.90  7.73  97920 0.00254
 203.8 279.0 0.00E+00 270.30  7.40  97990 0.00258
 385.0 255.5 0.00E+00 271.47  6.31  98070 0.00268
 754.5 226.2 0.00E+00 273.94  6.05  98090 0.00284
 854.1 230.6 0.00E+00 276.18  6.16  98080 0.00277
 860.8 239.2 0.00E+00 278.09  5.98  98060 0.00272
 693.3 264.4 0.00E+00 278.98  6.53  98040 0.00225
 625.4 272.3 0.00E+00 279.47  6.56  98030 0.00205
 252.1 269.2 0.00E+00 278.93  5.73  98030 0.00197
 181.9 275.0 0.00E+00 278.79  5.79  98040 0.00207
 124.9 264.5 0.00E+00 278.55  4.77  98070 0.00205
  19.9 252.0 0.00E+00 277.38  3.31  98110 0.00223
   0.0 223.0 0.00E+00 275.39  2.41  98140 0.00224
   0.0 220.6 0.00E+00 273.01  2.09  98200 0.00229
   0.0 217.9 0.00E+00 271.77  1.78  98220 0.00226
   0.0 218.8 0.00E+00 270.11  1.82  98220 0.00227
   0.0 216.9 0.00E+00 269.19  1.52  98190 0.00226
   0.0 214.7 0.00E+00 267.93  0.86  98190 0.00222
   0.0 213.9 0.00E+00 268.17  0.85  98150 0.00225
   0.0 213.8 0.00E+00 267.68  0.42  98110 0.00224
   0.0 215.9 0.00E+00 266.44  0.32  98080 0.00218
   0.0 214.5 0.00E+00 266.68  0.69  98040 0.00219
   0.0 213.9 0.00E+00 265.96  0.79  98030 0.00212
  51.3 207.5 0.00E+00 265.64  0.70  98020 0.00208
 224.2 206.5 0.00E+00 270.47  0.79  97970 0.00261
 412.3 224.3 0.00E+00 274.01  1.38  97920 0.00266
 547.8 244.2 0.00E+00 277.07  2.41  97900 0.00248
 750.8 236.7 0.00E+00 279.55  3.33  97840 0.00197
 862.2 246.9 0.00E+00 281.20  3.74  97740 0.00170
 887.0 245.5 0.00E+00 282.39  3.63  97660 0.00166
 844.6 251.6 0.00E+00 283.51  3.74  97530 0.00165
 757.9 249.8 0.00E+00 284.49  3.69  97420 0.00159
 554.8 253.9 0.00E+00 285.29  3.52  97330 0.00158
 173.5 305.8 0.00E+00 284.80  2.82  97290 0.00163
  63.8 312.3 0.00E+00 284.33  1.18  97260 0.00166
   9.5 316.4 0.00E+00 283.19  1.57  97220 0.00203
   0.0 314.4 0.00E+00 280.81  2.19  97170 0.00282
   0.0 319.3 0.00E+00 280.54  2.19  97160 0.00295
   0.0 318.6 0.00E+00 280.18  1.40  97170 0.00295
   0.0 307.8 0.00E+00 279.95  2.08  97130 0.00292
   0.0 292.5 0.00E+00 279.28  2.19  97060 0.00287
   0.0 287.8 0.00E+00 278.78  2.11  96980 0.00298
   0.0 255.2 0.00E+00 276.98  2.04  96920 0.00298
   0.0 254.4 0.00E+00 275.99  1.22  96880 0.00297
   0.0 257.6 0.00E+00 274.48  1.20  96810 0.00299
   0.0 261.2 0.00E+00 273.53  0.77  96770 0.00303
   0.0 259.4 0.00E+00 273.65  1.39  96730 0.00315
  23.9 274.6 0.00E+00 273.73  1.39  96690 0.00329
 157.3 276.1 0.00E+00 277.15  1.93  96660 0.00390
 377.8 274.1 0.00E+00 282.34  3.80  96590 0.00442
 575.3 285.8 0.00E+00 286.43  3.97  96570 0.00501
 674.9 304.3 0.00E+00 290.99  5.65  96480 0.00549
 663.0 338.5 0.00E+00 295.30  7.53  96340 0.00532
 608.2 335.7 0.00E+00 297.25  9.08  96230 0.00497
 668.3 334.6 0.00E+00 298.30  9.52  96130 0.00484
 633.5 333.3 0.00E+00 299.25  9.89  96000 0.00467
 572.1 329.7 0.00E+00 299.90  9.24  95930 0.00456
 387.4 327.8 0.00E+00 299.99  8.23  95870 0.00456
 136.1 332.2 0.00E+00 298.69  6.50  95840 0.00461
  24.6 331.0 0.00E+00 296.46  3.86  95830 0.00474
   0.0 332.5 0.00E+00 292.78  2.66  95840 0.00477
   0.0 328.9 0.00E+00 291.33  3.54  95850 0.00490
   0.0 311.0 0.00E+00 290.33  4.28  95840 0.00496
   0.0 298.8 0.00E+00 288.92  4.58  95820 0.00506
   0.0 294.1 0.00E+00 288.13  4.71  95800 0.00493
   0.0 289.5 0.00E+00 286.83  3.80  95790 0.00482
   0.0 286.6 0.00E+00 285.59  3.71  95770 0.00473
   0.0 285.9 0.00E+00 285.41  4.06  95750 0.00468
   0.0 281.0 0.00E+00 283.71  2.99  95720 0.00466
   0.0 279.2 0.00E+00 283.87  4.03  95730 0.00463
   0.0 278.1 0.00E+00 283.23  3.84  95720 0.00458
  49.2 276.2 0.00E+00 283.54  3.90  95750 0.00458
 221.4 278.7 0.00E+00 285.87  4.79  95780 0.00470
 426.7 288.9 0.00E+00 289.34  5.09  95770 0.00465
 612.2 303.8 0.00E+00 294.05  5.06  95770 0.00467
 758.4 322.0 0.00E+00 298.66  6.23  95770 0.00443
 851.3 334.9 0.00E+00 302.07  6.66  95720 0.00422
 880.8 341.7 0.00E+00 303.99  6.33  95630 0.00382
 848.0 343.2 0.00E+00 305.07  6.98  95550 0.00370
 753.4 342.6 0.00E+00 305.38  7.77  95520 0.00358
 604.9 340.5 0.00E+00 305.51  7.15  95480 0.00348
 413.5 340.3 0.00E+00 305.12  6.69  95450 0.00381
 194.3 337.3 0.00E+00 302.30  7.60  95450 0.00485
  31.6 325.7 0.00E+00 298.82  6.16  95470 0.00530
   0.0 317.0 0.00E+00 295.86  5.10  95530 0.00534
   0.0 308.6 0.00E+00 294.36  5.72  95600 0.00562
   0.0 304.0 0.00E+00 293.55  6.35  95640 0.00617
   0.0 300.0 0.00E+00 292.07  5.85  95630 0.00642
   0.0 297.5 0.00E+00 291.52  5.46  95620 0.00639
   0.0 298.1 0.00E+00 290.95  5.25  95600 0.00667
   0.0 296.6 0.00E+00 290.38  4.99  95590 0.00669
   0.0 294.0 0.00E+00 288.98  4.89  95570 0.00673
   0.0 289.1 0.00E+00 287.74  4.40  95540 0.00679
   0.0 283.6 0.00E+00 285.28  2.32  95510 0.00661
   0.0 279.6 0.00E+00 282.64  2.25  95500 0.00627
  49.6 275.2 0.00E+00 282.28  1.86  95520 0.00643
 230.8 280.6 0.00E+00 286.85  3.89  95520 0.00750
 434.7 293.1 0.00E+00 290.38  5.73  95510 0.00754
 617.0 304.8 0.00E+00 293.32  5.07  95550 0.00713
 760.0 316.8 0.00E+00 295.54  4.38  95560 0.00671
 848.8 325.7 0.00E+00 297.92  4.20  95520 0.00647
 866.1 335.6 0.00E+00 299.87  4.81  95460 0.00645
 769.6 343.7 0.00E+00 301.18  4.70  95370 0.00635
 628.7 354.9 0.00E+00 301.68  4.69  95360 0.00623
 601.8 350.5 0.00E+00 302.42  4.17  95340 0.00600
 406.6 343.3 0.00E+00 302.40  3.84  95310 0.00578
 206.0 339.0 0.00E+00 301.83  3.16  95330 0.00575
  26.6 332.7 0.00E+00 298.51  1.96  95340 0.00610
   0.0 325.1 0.00E+00 293.88  3.38  95390 0.00679
   0.0 322.1 0.00E+00 291.72  1.72  95440 0.00694
   0.0 326.9 0.00E+00 289.40  1.98  95480 0.00702
   0.0 344.7 0.00E+00 288.77  2.08  95450 0.00719
   0.0 364.9 0.00E+00 289.69  2.41  95380 0.00808
   0.0 343.0 0.00E+00 290.65  1.88  95280 0.00920
   0.0 331.2 0.00E+00 290.51  2.97  95200 0.00963
   0.0 326.4 0.00E+00 292.93  6.75  95090 0.00974
   0.0 323.6 0.00E+00 293.01  8.92  95040 0.00972
   0.0 320.9 0.00E+00 292.25  8.09  95070 0.00961
   0.0 313.5 0.00E+00 291.54  6.94  95100 0.00939
  30.3 307.0 0.00E+00 290.59  5.94  95150 0.00918
 170.3 306.9 0.00E+00 291.94  6.84  95230 0.00922
 255.2 313.0 0.00E+00 293.17  7.48  95320 0.00760
 387.7 303.9 0.00E+00 287.04  8.55  95460 0.00645
 574.6 294.1 0.00E+00 285.38  8.21  95540 0.00615
 606.5 294.9 0.00E+00 286.25  6.80  95570 0.00604
 655.7 299.3 0.00E+00 287.63  6.17  95570 0.00603
 771.1 301.3 0.00E+00 289.67  5.01  95540 0.00606
 739.6 304.2 0.00E+00 291.48  5.00  95510 0.00616
 604.4 301.1 0.00E+00 290.96  5.58  95520 0.00618
 408.5 289.6 0.00E+00 288.75  6.33  95580 0.00606
 185.2 280.2 0.00E+00 286.68  6.04  95690 0.00584
  26.2 272.6 0.00E+00 283.65  6.34  95830 0.00553
   0.0 266.8 0.00E+00 280.85  7.19  95950 0.00518
   0.0 310.9 0.00E+00 279.55  6.93  96070 0.00503
   0.0 305.6 0.00E+00 278.79  7.46  96060 0.00490
   0.0 309.5 0.00E+00 278.02  7.58  96030 0.00476
   0.0 318.2 0.00E+00 277.35  6.54  96000 0.00468
   0.0 318.7 2.12E-04 276.91  6.74  95970 0.00459
   0.0 317.9 4.23E-04 276.21  5.91  96040 0.00454
   0.0 312.1 7.06E-05 274.89  7.73  95920 0.00449
   0.0 311.5 4.94E-04 274.21  9.68  95890 0.00428
   0.0 309.9 6.35E-04 273.68  8.41  95990 0.00412
   0.0 306.9 3.53E-04 273.40  7.71  96050 0.00403
   4.6 307.3 7.06E-05 273.28  7.01  96110 0.00399
  23.6 308.5 0.00E+00 273.16  6.94  96170 0.00396
  39.1 309.0 0.00E+00 273.02  6.44  96150 0.00392
  64.3 308.5 0.00E+00 272.89  6.38  96220 0.00388
 114.0 309.3 0.00E+00 273.01  7.06  96310 0.00391
 137.8 304.1 0.00E+00 273.15  6.66  96370 0.00394
 172.2 301.7 7.06E-05 273.25  7.28  96420 0.00397
 231.0 301.1 2.82E-04 273.83  6.78  96470 0.00414
 215.1 303.9 0.00E+00 274.37  6.24  96500 0.00430
 124.9 302.4 0.00E+00 274.28  6.22  96550 0.00427
 121.0 302.2 0.00E+00 274.40  6.37  96580 0.00431
  49.2 301.3 0.00E+00 274.11  6.33  96650 0.00422
   9.2 299.0 0.00E+00 273.90  6.04  96710 0.00403
   0.0 298.1 0.00E+00 273.68  4.94  96810 0.00383
   0.0 281.3 0.00E+00 273.58  4.01  96880 0.00374
   0.0 236.0 0.00E+00 273.06  3.00  96910 0.00359
   0.0 225.3 0.00E+00 272.59  2.99  96900 0.00348
   0.0 260.7 0.00E+00 272.55  2.44  97020 0.00339
   0.0 255.2 0.00E+00 272.06  2.40  97090 0.00333
   0.0 267.4 0.00E+00 272.18  3.91  97110 0.00319
   0.0 282.4 0.00E+00 271.98  3.10  97160 0.00318
   0.0 258.6 0.00E+00 271.75  3.85  97180 0.00313
   0.0 215.7 0.00E+00 270.63  2.37  97260 0.00299
   0.0 212.2 0.00E+00 270.28  2.29  97330 0.00295
  61.7 210.1 0.00E+00 270.16  2.96  97380 0.00287
 246.9 210.0 0.00E+00 271.65  4.25  97450 0.00299
 443.8 221.1 0.00E+00 272.79  5.57  97470 0.00299
 479.9 248.2 0.00E+00 273.42  5.35  97530 0.00298
 720.5 253.6 0.00E+00 274.47  5.30  97550 0.00303
 568.6 268.7 0.00E+00 274.97  4.16  97520 0.00301
 679.2 278.7 0.00E+00 275.95  3.46  97500 0.00311
 507.2 284.1 0.00E+00 276.59  3.38  97440 0.00316
 467.0 289.6 0.00E+00 277.26  1.98  97420 0.00317
 323.1 294.0 0.00E+00 277.58  1.61  97410 0.00321
 205.4 297.1 0.00E+00 277.90  1.54  97370 0.00313
  72.9 303.7 0.00E+00 277.68  2.57  97340 0.00326
  15.9 302.4 0.00E+00 276.90  3.69  97320 0.00342
   0.0 303.7 0.00E+00 276.10  4.41  97320 0.00345
   0.0 300.4 0.00E+00 275.37  4.60  97400 0.00341
   0.0 301.0 0.00E+00 274.79  4.34  97450 0.00345
   0.0 284.3 0.00E+00 273.82  4.95  97450 0.00340
   0.0 265.7 0.00E+00 273.07  4.83  97400 0.00328
   0.0 257.4 0.00E+00 272.51  5.17  97350 0.00323
   0.0 246.2 0.00E+00 272.18  4.35  97280 0.00320
   0.0 233.4 0.00E+00 271.79  4.24  97150 0.00313
   0.0 246.6 0.00E+00 271.83  5.26  97030 0.00313
   0.0 264.3 0.00E+00 271.97  5.49  97030 0.00312
