         714726006 function calls (713117625 primitive calls) in 3883.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1472    0.015    0.000    0.682    0.000 backend_agg.py:214(get_text_width_height_descent)
       72    0.000    0.000    0.670    0.009 spines.py:166(cla)
       72    0.007    0.000    0.609    0.008 axis.py:941(_update_ticks)
       18    0.001    0.000    0.580    0.032 figure.py:437(autofmt_xdate)
  3122303    0.572    0.000    0.572    0.000 {method 'lower' of 'str' objects}
       18    0.000    0.000    0.564    0.031 _base.py:564(_init_axis)
     6048    0.039    0.000    0.561    0.000 markers.py:233(set_marker)
       18    0.000    0.000    0.558    0.031 _base.py:2870(get_xticklabels)
       18    0.000    0.000    0.557    0.031 axis.py:1173(get_ticklabels)
       18    0.000    0.000    0.557    0.031 axis.py:1159(get_majorticklabels)
        1    0.012    0.012    0.545    0.545 __init__.py:335(<module>)
       18    0.001    0.000    0.533    0.030 pyplot.py:420(figure)
       18    0.000    0.000    0.530    0.029 backend_qt4agg.py:38(new_figure_manager)
      765    0.526    0.001    0.526    0.001 {open}
     3486    0.010    0.000    0.525    0.000 markers.py:148(__init__)
       18    0.000    0.000    0.520    0.029 backend_qt4agg.py:49(new_figure_manager_given_figure)
        1    0.009    0.009    0.514    0.514 stats.py:167(<module>)
  3207819    0.509    0.000    0.509    0.000 {method 'append' of 'list' objects}
    15112    0.076    0.000    0.506    0.000 path.py:103(__init__)
      760    0.004    0.000    0.505    0.001 axis.py:888(iter_ticks)
        4    0.000    0.000    0.499    0.125 mathtext.py:3079(parse)
       72    0.003    0.000    0.496    0.007 axis.py:1047(_get_tick_bboxes)
      664    0.013    0.000    0.493    0.001 text.py:926(get_window_extent)
       52    0.003    0.000    0.488    0.009 subprocess.py:619(__init__)
        1    0.028    0.028    0.486    0.486 __init__.py:106(<module>)
       52    0.007    0.000    0.482    0.009 subprocess.py:1111(_execute_child)
        4    0.028    0.007    0.481    0.120 __init__.py:9(<module>)
     6048    0.017    0.000    0.480    0.000 markers.py:208(set_fillstyle)
       18    0.000    0.000    0.464    0.026 backend_qt4agg.py:73(__init__)
       18    0.002    0.000    0.462    0.026 backend_qt4.py:65(__init__)
        1    0.050    0.050    0.461    0.461 api.py:5(<module>)
       18    0.457    0.025    0.457    0.025 backend_qt5.py:123(_create_qApp)
3270752/3270143    0.456    0.000    0.457    0.000 {len}
        1    0.016    0.016    0.449    0.449 linearmodels.py:1(<module>)
        1    0.008    0.008    0.448    0.448 pkg_resources.py:14(<module>)
        1    0.000    0.000    0.433    0.433 __init__.py:18(pylab_setup)
        1    0.004    0.004    0.432    0.432 backend_qt4agg.py:3(<module>)
       52    0.163    0.003    0.432    0.008 stateVector.py:22(get_jules_state)
        1    0.004    0.004    0.428    0.428 backend_qt5agg.py:3(<module>)
        1    0.006    0.006    0.422    0.422 backend_qt5.py:1(<module>)
      736    0.017    0.000    0.416    0.001 backend_agg.py:183(draw_text)
        1    0.002    0.002    0.415    0.415 figureoptions.py:8(<module>)
        1    0.002    0.002    0.413    0.413 formlayout.py:34(<module>)
        1    0.411    0.411    0.411    0.411 qt_compat.py:2(<module>)
        2    0.047    0.024    0.396    0.198 __init__.py:101(<module>)
